Type,Title,Choice,Choice,Choice,Choice,Correct
MCQ,"Quelle extension de fichier est utilisée pour un playbook Ansible ?",.json,.yml,.ini,.xml,2
MCQ,"Peut-on inclure plusieurs fichiers dans un playbook ?",Non,Oui avec include_tasks,Oui avec modules,Uniquement via roles,2
MCQ,"Quelle commande permet de tester la connectivité SSH aux hôtes ?",ansible all -m ping,ansible-ping,ssh-test,ansible-connect,1
MCQ,"Quelle directive permet de définir un groupe d’hôtes dans un inventaire ?",[groupname],group:hosts,{group},group_name,1
MCQ,"Quel outil est souvent utilisé avec Ansible pour la gestion de secrets ?",AWS Vault,Ansible Vault,HashiCorp Vault,Secrets Manager,2
MCQ,"Quelle commande permet d’encrypter un fichier avec Ansible Vault ?",ansible-vault lock,ansible-vault encrypt,ansible encrypt,encrypt-file,2
MCQ,"Un rôle Ansible contient :","Un seul fichier main.yml","Des dossiers bien structurés (tasks, handlers, etc.)","Uniquement des variables","Des clés SSH",2
MCQ,"Le module yum est utilisé pour :",Les systèmes Debian,Les systèmes Windows,Les systèmes basés sur Red Hat,Linux Mint,3
MCQ,"Quelle directive permet d’inclure une autre tâche dans une playbook ?",include_tasks,run_tasks,import_tasks,add_tasks,3
MCQ,"Quelle option du module copy permet de définir la source du fichier ?",src,file,path,destination,1
TF,"Ansible utilise une architecture sans agent.",Vrai,Faux,,,1
TF,"Les playbooks Ansible sont écrits en YAML.",Vrai,Faux,,,1
TF,"Ansible ne peut pas gérer les hôtes Windows.",Vrai,Faux,,,2
TF,"Les handlers sont exécutés immédiatement après leur appel.",Vrai,Faux,,,2
TF,"La commande ansible-vault decrypt permet de décrypter un fichier chiffré.",Vrai,Faux,,,1
TF,"Un playbook peut contenir plusieurs plays.",Vrai,Faux,,,1
TF,"Ansible est capable de gérer des inventaires dynamiques.",Vrai,Faux,,,1
MCQ,"Ansible peut-il exécuter des commandes en parallèle sur plusieurs hôtes ?","Non","Oui, mais avec un plugin","Oui nativement","Oui uniquement avec Kubernetes",3
TF,"Les modules sont obligatoires dans un playbook Ansible.",Vrai,Faux,,,1
TF,"On peut utiliser des rôles pour structurer un projet Ansible.",Vrai,Faux,,,1
TF,"La variable 'become' est utilisée pour changer d’utilisateur.",Vrai,Faux,,,1
MCQ,"Quelle est la commande pour créer un nouveau rôle Ansible ?",ansible-create-role,ansible-galaxy init,create-role,role init,2
MCQ,"Comment appelle-t-on une configuration qui ne change rien si elle est déjà appliquée ?",Immuable,Idempotente,Persistante,Statique,2
MCQ,"Quel module permet de gérer les utilisateurs Linux avec Ansible ?",user,group,account,login,1
MCQ,"Quel fichier stocke les variables dans un rôle ?",vars.yml,variables.txt,defaults.cfg,env.ini,1
MCQ,"Quel module peut être utilisé pour exécuter une commande shell ?",command,shell,run,exec,2
MCQ,"Les modules Ansible sont écrits en :",Python uniquement,Plusieurs langages,Java,Go,2
MCQ,"Quelle directive permet d’inclure des variables dans un playbook ?",vars_files,variables,import_vars,include_vars,1
MCQ,"Le mot-clé 'when' permet de :",Planifier une tâche,Définir une condition,Créer une variable,Lancer un rôle,2
MCQ,"Quel est l'avantage de l’utilisation de rôles dans Ansible ?",Complexité accrue,Code plus organisé et réutilisable,Réduction des performances,Utilisation exclusive de la ligne de commande,2
MCQ,"Ansible peut-il être utilisé avec Windows ?","Non","Oui, mais uniquement avec PowerShell","Oui, avec certaines limitations","Oui, sans restriction",3
MCQ,"Peut-on utiliser Ansible pour déployer des applications ?","Non, uniquement pour la configuration","Oui, uniquement sur Linux","Oui, sur différents OS","Non, uniquement pour la supervision",3
MCQ,"Quel est le rôle principal de Git ?",Sauvegarder des fichiers,Compiler du code,Gérer les versions de code,Partager des images,3
MCQ,"Git est un système de contrôle de version :",Centralisé,Distribué,Cloud-native,Obsolète,2
MCQ,"Quelle commande initialise un dépôt Git ?",git start,git init,git create,git repo,2
MCQ,"Quelle commande permet d'ajouter un fichier à l'index ?",git add,git stage,git commit,git include,1
MCQ,"Que fait la commande git commit ?",Supprime un fichier,Ajoute un fichier,Valide les modifications,Clone un dépôt,3
MCQ,"Quel fichier permet d’ignorer certains fichiers ?",.ignore,.gitconfig,.gitignore,.skip,3
MCQ,"Que permet git status ?",Vérifier les mises à jour,Gérer les branches,Vérifier l'état du dépôt,Créer un nouveau dépôt,3
MCQ,"Quel est l'avantage principal de Git ?",Sauvegarde automatique,Collaboration,Versionnage,Création de sites web,3
MCQ,"La commande git log permet de :",Afficher les logs systèmes,Afficher l’historique des commits,Créer une branche,Ajouter des fichiers,2
MCQ,"Que fait git add . ?",Ajoute tous les fichiers du dossier courant à l’index,Ajoute le dépôt distant,Crée une branche,Affiche les fichiers,1
MCQ,"Quel outil est une interface graphique pour Git ?",Jira,Slack,GitHub Desktop,Zoom,3
MCQ,"Git est plus rapide que SVN car :",Il est sur le cloud,Il est centralisé,Les opérations sont locales,Il utilise Java,3
MCQ,"Que contient le dossier .git ?",Les fichiers compilés,Les logs systèmes,Les fichiers du dépôt Git,Le code source,3
MCQ,"Quelle commande annule un changement non indexé ?",git cancel,git delete,git restore,git clean,3
MCQ,"Quelle commande permet de revenir à un commit précédent ?",git go,git reset,git back,git revert,2
MCQ,"Quel est le rôle de git pull ?",Sauvegarder des fichiers,Télécharger les modifications du dépôt distant,Initialiser un dépôt,Créer un commit,2
MCQ,"Quel est le rôle de git push ?",Envoyer des commits au dépôt distant,Créer une branche,Afficher l’historique,Télécharger des fichiers,1
MCQ,"Comment créer une nouvelle branche ?",git new branch,git branch nom_branche,git make branch,git commit -b,2
MCQ,"Quelle commande permet de basculer sur une branche ?",git switch,git go,git checkout,git jump,3
MCQ,"GitHub et GitLab permettent :",La gestion de projet,Le partage de fichiers,Le versionnage collaboratif,L’envoi de mails,3
MCQ,"Qu'est-ce qu'un merge ?",Un conflit de commit,Une commande de suppression,Une fusion de branches,Une commande de mise à jour,3
MCQ,"Quelle est la commande pour visualiser les différences ?",git log,git show,git diff,git branch,3
MCQ,"Git permet de travailler :",Uniquement en ligne,Uniquement avec un serveur central,De manière distribuée,Sans historique,3
MCQ,"Un commit est :",Un fichier,Un changement validé,Une branche,Un dépôt,2
MCQ,"Comment afficher un historique simplifié des commits ?",git log --simple,git history,git log --oneline,git summary,3
MCQ,"Comment nomme-t-on le fichier pour configurer Git ?",.gitsettings,.gitconfig,.configgit,git.conf,2
MCQ,"Que signifie git clone ?",Fusionner un dépôt,Copier un dépôt distant en local,Supprimer un dépôt,Ouvrir un dépôt,2
MCQ,"Que fait git branch -d ?",Affiche les branches,Supprime une branche locale,Crée une branche distante,Définit la branche principale,2
MCQ,"Quel est le nom de la branche par défaut ?",develop,main,master,release,3
MCQ,"Comment ignorer tous les fichiers .log dans .gitignore ?",*.log,log.*,log/,ignore.log,1
MCQ,"git checkout -b permet :",Créer une branche sans s'y déplacer,Créer et basculer vers une branche,Copier un dépôt,Fusionner des branches,2
MCQ,"Un conflit Git survient :",Lors d'un pull,Quand un fichier est supprimé,Quand des modifications concurrentes existent,Quand Git plante,3
MCQ,"GitLab CI/CD permet :",Créer des VM,Automatiser les déploiements,Réinitialiser Git,Surveiller le réseau,2
MCQ,"Quel est l'intérêt des branches ?",Organiser les fichiers,Isoler les fonctionnalités,Ignorer des fichiers,Partager des images,2
MCQ,"Quel est le format de base d’un commit Git ?",JSON,XML,Hash SHA-1,UUID,3
MCQ,"Que fait git remote add ?",Ajoute un dépôt distant,Crée un nouveau commit,Ajoute un fichier,Change de branche,1
MCQ,"git config --global permet :",Modifier un commit,Configurer des paramètres utilisateur globaux,Fusionner des branches,Créer un fichier de config,2
MCQ,".gitignore est utilisé pour :",Ajouter des fichiers,Gérer des branches,Ignorer certains fichiers,Afficher l’historique,3
MCQ,"GitHub est :",Un service de messagerie,Un serveur FTP,Une plateforme de gestion de versions,Un compilateur,3
MCQ,"Quel est le rôle d’un tag Git ?",Créer une branche,Restaurer un fichier,Marquer un point spécifique dans l’historique,Effacer un commit,3
MCQ,"La commande git fetch :",Efface les branches,Télécharge les mises à jour sans les fusionner,Crée un dépôt distant,Clone un dépôt,2
MCQ,"Quel est l’intérêt du fichier README.md ?",Exécuter du code,Documenter le projet,Stocker des logs,Ignorer des fichiers,2
MCQ,"Quelle commande affiche les branches disponibles ?",git show,git log,git branch,git diff,3
MCQ,"Comment créer un tag ?",git tag nom,git create tag,git checkpoint,git label,1
MCQ,"Pourquoi utiliser git reset --hard ?",Pour cloner un dépôt,Pour revenir à un état stable,Pour créer une branche,Pour supprimer un fichier,2
MCQ,"Un submodule dans Git sert à :",Créer un commit,Fusionner deux dépôts,Inclure un autre dépôt dans un projet,Gérer les tags,3
MCQ,"Comment revenir à une version précédente avec un tag ?",git go tag,git revert,git checkout v1.0,git history tag,3
MCQ,"Quelle est la différence entre git pull et git fetch ?",Aucune,git fetch met à jour sans merge,git pull ne récupère pas les branches,git fetch crée un commit,2
MCQ,"Que permet git rebase ?",Ajouter des commits,Télécharger des fichiers,Réécrire l’historique des commits,Ignorer des fichiers,3
MCQ,"Quel est le rôle de GitHub dans un pipeline CI/CD ?","Héberger les fichiers ZIP","Générer des fichiers JAR","Héberger le code source et déclencher les builds","Superviser les serveurs Jenkins",3
MCQ,"Pourquoi utilise-t-on Jenkins avec Ansible ?","Pour coder en Python","Pour créer des machines virtuelles","Pour automatiser le déploiement d'applications","Pour envoyer des emails",3
MCQ,"Quel est l’objectif principal d’un webhook dans GitHub ?","Créer une interface graphique","Déclencher une action automatique (comme un build Jenkins)","Sauvegarder des fichiers","Créer un utilisateur",2
MCQ,"Quel port est généralement utilisé pour accéder à Jenkins ?","22","80","8080","3306",3
MCQ,"Quel est le rôle de Tomcat dans un pipeline CI/CD ?","Compiler le code","Lancer Jenkins","Déployer et exécuter des applications web Java","Gérer la base de données",3
MCQ,"Que permet l’intégration de GitHub dans Jenkins ?","De supprimer le code","D'envoyer des e-mails de masse","De cloner les dépôts automatiquement","De redémarrer Jenkins",3
MCQ,"Quel fichier est souvent utilisé pour décrire un playbook Ansible ?","setup.txt","config.ini","playbook.yml","script.sh",3
MCQ,"Quel est l'avantage de l'automatisation via Jenkins ?","Moins de commits","Moins de contrôle qualité","Livraisons continues fiables","Plus de code manuellement",3
MCQ,"Jenkins peut être déclenché par :","Une alerte système","Un test utilisateur","Un commit GitHub via webhook","Un appel téléphonique",3
MCQ,"Quel outil est utilisé pour provisionner et configurer les serveurs dans ce pipeline ?","Git","Docker","Ansible","Apache",3
MCQ,"Un pipeline Jenkins peut inclure :","Uniquement des étapes manuelles","Uniquement des tests","Build, test, et déploiement","Uniquement l'installation de Jenkins",3
MCQ,"Quel est l'avantage principal de Jenkins ?","Gestion des utilisateurs","Surveillance réseau","Automatisation des tâches DevOps","Création de pages HTML",3
MCQ,"Que permet le plugin Git dans Jenkins ?","Intégrer Google Drive","Gérer les branches Git","Modifier le code automatiquement","Installer Java",2
MCQ,"Quel langage est utilisé pour écrire les playbooks Ansible ?","JSON","YAML","XML","Python",2
MCQ,"Quel serveur web est utilisé pour héberger les WAR Jenkins ?","Nginx","Apache","Tomcat","IIS",3
MCQ,"Quel événement déclenche un pipeline CI dans Jenkins ?","Un nouveau commit pushé","Un appel GET","Un reboot du serveur","Un changement de mot de passe",1
MCQ,"Quel outil CI/CD utilise-t-on dans ce document ?","Travis CI","CircleCI","Jenkins","GitLab CI",3
MCQ,"Pourquoi utiliser Ansible dans un pipeline Jenkins ?","Pour compiler du code","Pour surveiller les performances","Pour automatiser les tâches système","Pour créer un site web",3
MCQ,"Comment Jenkins récupère-t-il le code source ?","Via un webhook depuis GitHub","Via e-mail","Manuellement via l'interface","Depuis Dropbox",1
MCQ,"Quel est le rôle d'un fichier pom.xml (Maven) dans Jenkins ?","Configurer le pipeline Jenkins","Déployer l'application","Gérer les dépendances Java et la compilation","Envoyer des logs",3
MCQ,"Un playbook Ansible contient :","Du HTML","Des scripts Bash","Des instructions d'automatisation en YAML","Des fichiers JAR",3
MCQ,"Quel format de fichier est utilisé pour le déploiement Java dans Tomcat ?",".zip",".tar",".war",".html",3
MCQ,"Le plugin Git dans Jenkins sert à :","Analyser des logs","Créer des utilisateurs","Cloner et suivre les dépôts Git","Gérer le système",3
MCQ,"Que signifie CI/CD ?","Custom Interface / Code Deployment","Continuous Integration / Continuous Deployment","Centralized Integration / Centralized Data","Container Infrastructure / Code Debugging",2
MCQ,"Pourquoi utilise-t-on Jenkins dans un pipeline DevOps ?","Pour héberger des sites web","Pour stocker des images","Pour automatiser intégration et déploiement","Pour tester les API REST",3
MCQ,"Quel est l'objectif principal de Jenkins ?",Tester manuellement,Déployer manuellement,Automatiser l’intégration et le déploiement,Remplacer les développeurs,3
MCQ,"Qu'est-ce que l'intégration continue (CI) ?",Un test manuel du code,Une livraison mensuelle,Une pratique visant à tester automatiquement chaque révision de code,Une sauvegarde automatique,3
MCQ,"Quel est le rôle du fichier scriptprojet1.sh ?",Créer un utilisateur Jenkins,Lancer Jenkins,Effectuer un déploiement manuel,Installer Git,3
MCQ,"Quelle étape n'est pas incluse dans un déploiement manuel classique ?",Build Java,Push du code,Utilisation de Kubernetes,Téléchargement du code sur le serveur,3
MCQ,"Que génère le build d’un projet Java ?",Un fichier .py,Un fichier .zip,Un fichier webapp.war,Un fichier config.ini,3
MCQ,"Quel outil est utilisé pour compiler les projets Java ?",Git,Maven,Docker,Ansible,2
MCQ,"Quelle est la commande pour installer Maven sous Ubuntu ?",sudo yum install maven,sudo apt install maven,apt-get install docker,pacman -S maven,2
MCQ,"Quel est le chemin classique de déploiement pour le fichier WAR dans Tomcat ?",/home/user/warfiles,/var/lib/tomcat,/opt/tomcat/latest/webapps,/usr/local/bin,3
MCQ,"Quelle est la commande pour ouvrir le port 8080 avec UFW ?",sudo ufw allow http,sudo ufw enable all,sudo ufw allow 8080/tcp,sudo iptables allow 8080,3
MCQ,"Pourquoi le port 8080 peut être inaccessible malgré le déploiement ?",Java non installé,Tomcat absent,Le firewall AWS bloque le trafic entrant,URL mal formée,3
MCQ,"Quelle est la première étape lors de la création d'une VM sur AWS pour déploiement manuel ?",Créer une base de données,Créer une paire de clés SSH,Installer Ansible,Créer un bucket S3,2
MCQ,"Pourquoi définit-on JAVA_HOME dans le fichier java.sh ?",Pour activer Python,Pour localiser Maven,Pour compiler en C++,Pour indiquer le chemin vers Java,4
MCQ,"Quelle commande permet de vérifier que Maven est bien installé ?",mvn --check,mvn –version,check maven version,version maven,2
MCQ,"Quelle est la commande pour rendre un fichier exécutable ?",chmod +x,chmod 000,chown root,cp -x,1
MCQ,"Que fait la commande systemctl enable tomcat ?",Désactive Tomcat,Lance Tomcat automatiquement au boot,Désinstalle Tomcat,Vérifie l’état de Tomcat,2
MCQ,"Quel est le rôle principal de Jenkins ?",Automatiser le test uniquement,Gérer les dépôts Git,Automatiser toutes les étapes du développement logiciel,Gérer les bases de données,3
MCQ,"Jenkins est développé en quel langage ?",Python,C++,Java,Go,3
MCQ,"Qu’est-ce que l’intégration continue (CI) ?",Un outil de déploiement,Une stratégie de sécurité,Une pratique de test automatisé de chaque modification de code,Un langage de programmation,3
MCQ,"Que se passe-t-il si un test échoue dans Jenkins ?",Le build continue,Le développeur est notifié et le déploiement est stoppé,Le code est supprimé,La base de données est restaurée,2
MCQ,"Qu’est-ce que le déploiement continu (CD) ?",Une version allégée de CI,Une procédure manuelle de tests,Une automatisation complète du déploiement après validation des tests,Une méthode de sauvegarde,3
MCQ,"Quelle est la différence entre livraison continue et déploiement continu ?",Aucune différence,Livraison continue intègre tout sauf le passage en prod,Le déploiement continu ne teste pas,La livraison continue ne fait pas de build,2
MCQ,"Quel est l'objectif final de Jenkins ?",Créer des bases de données,Automatiser les builds et déploiements,Analyser du texte,Compiler du code en C,2
MCQ,"Sur quel port fonctionne Jenkins par défaut ?",80,22,443,8080,4
MCQ,"Comment accéder à Jenkins après installation ?",Via un VPN,Via http://@ip-public:8080,Via un terminal SSH,Via FTP,2
MCQ,"Où trouver le mot de passe initial de Jenkins ?",Dans /etc/passwd,Via email,Dans /var/lib/jenkins/secrets/initialAdminPassword,Sur GitHub,3
MCQ,"Pourquoi installe-t-on OpenJDK avec Jenkins ?",Pour compiler en C,Pour utiliser NodeJS,Parce que Jenkins est écrit en Java,Pour avoir accès à Git,3
MCQ,"Quelle commande permet d’installer Jenkins sur CentOS ?",apt install jenkins,yum install jenkins,dnf upgrade jenkins,brew install jenkins,2
MCQ,"Quel outil est requis pour compiler un projet Maven dans Jenkins ?",npm,make,maven,docker,3
MCQ,"Quel plugin Jenkins faut-il installer pour Maven ?",Python Integration,Maven Integration,Maven Deployer,Node Plugin,2
MCQ,"Comment Jenkins détecte-t-il un nouveau code ?",En scannant manuellement,Par un cron job,En vérifiant le dépôt Git régulièrement,Sur appel du développeur,3
MCQ,"Quel type de projet choisir pour créer un job Jenkins ?",Free-style project,Script uniquement,Pipeline shell,Job en Python,1
MCQ,"Où Jenkins stocke-t-il les projets par défaut ?",/usr/share/jenkins,/etc/jenkins,/var/lib/jenkins/workspace,/opt/jenkins,3
MCQ,"Que fait la commande mvn clean install ?",Supprime les fichiers,Compile et teste le projet,Clone le dépôt,Installe Jenkins,2
MCQ,"Quel est le rôle du fichier pom.xml ?",Configurer les paramètres Git,Décrire la configuration du projet Maven,Gérer les utilisateurs,Créer un Dockerfile,2
MCQ,"Quel répertoire contient les sources du projet Maven ?",src/code/src,src/main/java,src/core,src/java,2
MCQ,"Quelle commande Jenkins déclenche la compilation Maven ?",mvn compile package,mvn run,mvn make,mvn start,1
MCQ,"Que fait Jenkins après avoir détecté un changement dans Git ?",Supprime le code,Exécute un test manuellement,Crée un nouveau build automatiquement,Demande à l’utilisateur,3
MCQ,"Quel est l’intérêt d’utiliser une clé SSH dans Jenkins ?",Changer de port Jenkins,Éviter les mots de passe à chaque push,Pour se connecter à PostgreSQL,Générer un fichier WAR,2
MCQ,"Quels types de dépendances le POM peut-il contenir ?","Uniquement internes","Seulement les plugins","Métadonnées, dépendances, plugins, etc.","Clés SSH",3
MCQ,"Quels types de plugins Jenkins peut-il intégrer ?","Uniquement Git","Git et Maven uniquement","De nombreux outils comme Git, Maven, EC2, etc.","Aucun plugin requis",3
