Type,Title,Choice,Choice,Choice,Choice,Correct
MCQ,Quel est le risque d’installer AD DS et SharePoint sur le même serveur ?,Aucune,Perte de données,Ralentissement de la RAM,Compromission de la sécurité,4
MCQ,Où trouve-t-on le menu Shared Folders ?,Dans les services de domaine,Dans le tableau de bord de Server Manager,Dans le menu démarrer,Dans le Gestionnaire de périphériques,2
MCQ,Quelle information trouve-t-on dans “Local Server” ?,Groupes locaux,Propriétés système,Utilisateurs distants uniquement,Comptes mail,2
MCQ,Que permet IE ESC ?,Optimiser la navigation,Bloquer les mises à jour,Augmenter la RAM,Réduire l’exposition aux attaques web,4
MCQ,Quel lien permet de configurer les mises à jour ?,Gérer les journaux,Configurer IE ESC,Configurer les mises à jour,Moniteur de performance,3
MCQ,Où consulter les erreurs du système ?,Journal d'événements,Journal des utilisateurs,Historique Windows,Services,1
MCQ,À quoi sert le Best Practice Analyzer ?,Installer un antivirus,Analyser les vulnérabilités logicielles,Proposer des bonnes pratiques de configuration,Supprimer les services inutiles,3
MCQ,Quel élément permet de visualiser l’utilisation CPU ?,Moniteur de fiabilité,Moniteur de performance,Service DNS,Planificateur de tâches,2
MCQ,Que permet la console “Computer Management” ?,Gérer les serveurs Linux,Gérer tous les aspects du serveur Windows,Désinstaller Server Manager,Gérer les fichiers temporaires,2
MCQ,"Quels sont les trois grands blocs de Computer Management ?","Système, Stockage, Services et Applications","Système, Utilisateurs, Applications","Utilisateurs, Stockage, Applications","Utilisateurs, Services et Applications, Système",1
MCQ,Où accède-t-on aux tâches planifiées ?,Services,Planificateur de tâches,Stratégies de groupe,Console AD,2
MCQ,Que contient la section Active Tasks ?,Tâches supprimées,Tâches exécutées,Statut des tâches en cours,Utilisateurs actifs,3
MCQ,Quel est l’intérêt des dossiers dans le planificateur de tâches ?,Classer les pilotes,Organiser les fichiers,Organiser les tâches par fonction,Créer des partitions,3
MCQ,Qu’est-ce que le WS-Management ?,Un antivirus,Un protocole SOAP pour l’administration,Un langage de programmation,Une version de Windows Update,2
MCQ,Quelle commande configure WinRM ?,netstat -r,winrm quickconfig –q,tasklist /svc,firewall.cpl,2
MCQ,Pourquoi créer une vue personnalisée dans Event Viewer ?,Pour supprimer les logs,Pour exporter la base de registre,Pour filtrer et sauvegarder des événements précis,Pour synchroniser les mises à jour,3
MCQ,Quel service doit être actif pour recevoir des journaux à distance ?,DHCP,WSUS,Windows Event Collector,Firewall,3
MCQ,À quoi sert le Moniteur de fiabilité ?,Gérer les droits d’accès,Analyser le stockage réseau,Surveiller les performances globales,Gérer les mises à jour,3
MCQ,Quel outil permet de gérer les utilisateurs locaux ?,Console AD,Invite de commandes,Local Users and Groups,PowerShell uniquement,3
MCQ,Quel outil gère les volumes disques ?,Gestionnaire de périphériques,Gestionnaire de volume,Gestion des disques,Performance Monitor,3
MCQ,Que permet la copie de clichés instantanés (VSS) ?,Créer des partitions,Défragmenter le disque,Restaurer les fichiers à un instant donné,Dupliquer les logs,3
MCQ,Qu'est-ce que WMI ?,Un antivirus,Un protocole de virtualisation,Une interface de gestion système,Un pare-feu,3
MCQ,Où se trouve la base WMI ?,%appdata%,%windir%\System32\Wbem\Repository,%temp%,C:\WMI\,2
MCQ,Quelle est l'évolution du pare-feu dans Windows Server 2012 ?,Il a été supprimé,Il est devenu bidirectionnel et intègre IPSec,Il utilise uniquement TCP,Il est désactivé par défaut,2
MCQ,Qu'est-ce que IPSEC ?,Un protocole web,Un service DNS,Un protocole réseau de sécurisation du trafic,Un outil de supervision,3
MCQ,Que permet le Service Hardening ?,Allouer plus de mémoire,Bloquer ou autoriser les services individuellement,Créer des comptes invités,Désactiver IE,2
MCQ,Que permet le paramètre ASC ?,Bloquer toutes les connexions,Ignorer les règles de blocage avec authentification,Mettre à jour l’antivirus,Désactiver le pare-feu,2
MCQ,Quel protocole est utilisé pour l’échange de clés ?,SNMP,DHCP,Diffie-Hellman,SSL,3
MCQ,Quel est le rôle d’OAKLEY ?,Configurer les GPO,Générer et échanger les clés de session,Analyser les logs,Désactiver les ports,2
MCQ,Qu'est-ce que le SA1 dans IPSEC ?,L’algorithme de hash,Le canal sécurisé pour les données,La clé principale de session,Le fichier journal,3
MCQ,Quels protocoles peuvent protéger les paquets IPSEC ?,FTP et HTTP,AH et ESP,SMTP et DNS,IPV6 et TCP,2
MCQ,Que fait AH ?,Hash uniquement les données,Hash le paquet entier,Crée un tunnel SSL,Chiffre les logs,2
MCQ,Quel type de règle dans IPSEC permet l’authentification sans sécurité ?,Isolation,Exemption d’authentification,Tunnel,Serveur à serveur,2
MCQ,Quelle règle est utilisée pour les serveurs DHCP ?,Règle Tunnel,Règle Custom,Règle d'exemption d'authentification,Règle Isolation,3
MCQ,Quel protocole crée un tunnel sécurisé sur Internet ?,SMTP,L2TP/IPSec,POP3,IMAP,2
MCQ,Quel outil permet de gérer Windows Firewall avec IPSec ?,GPO,Netsh ou la console MMC,PowerShell ISE uniquement,Task Manager,2
MCQ,Comment IPSEC gère-t-il l’authentification ?,Avec les utilisateurs locaux,Via HTTP,Par clé pré-partagée ou Kerberos,Par DNS,3
MCQ,Quel type de règle IPSEC exige l’authentification in/out pour un tunnel ?,Custom,Tunnel,Exemption,Serveur unique,2
MCQ,Quels sont les onglets d’une tâche planifiée ?,Rôles,Services,"Onglets : Général, Déclencheurs, Actions, etc.",Connexions,3
MCQ,"Par défaut, que fait le pare-feu pour les connexions entrantes ?",Les accepte,Les redirige,Les bloque,Les ignore,3
