Type,Title,Choice1,Choice2,Choice3,Choice4,Correct
MCQ,Which Kustomize feature sets variable values from ConfigMaps and Secrets?,secretVars,vars,varsPrefix,configVars,2
MCQ,Which kubectl flag applies label selectors when deleting resources?,--filter,--selector,--match-label,-l,2
MCQ,Which Kubernetes feature enforces least privilege for pod operations?,PodSecurityPolicy,SecurityContext,PodSecurityContext,AdmissionControl,1
MCQ,Which Kubernetes admission controller validates and potentially modifies requests before persistence?,MutatingAdmissionWebhook,None,Both,ValidatingAdmissionWebhook,3
MCQ,Which flag in kube-apiserver sets the maximum request body size?,--max-request-size,--max-body-size,--request-body-size,--max-request-bytes,4
MCQ,Which tool bootstraps a Kubernetes cluster with kubeadm?,kubectl init,kubelet bootstrap,kubeadm init,clusteradm init,3
MCQ,Which Kubernetes logging driver is used by default on a cluster?,syslog,json-file,journald,fluentd,2
MCQ,Which Kubernetes component writes cluster audit logs?,kube-auditd,kube-controller-manager,kubelet,kube-apiserver,4
MCQ,Which HTTP method is used by kubectl port-forward to establish connections?,GET,POST,PATCH,PUT,1
MCQ,Which file on Kubernetes worker nodes specifies certificate rotation settings?,kube-proxy.conf,kubelet-serving.kubeconfig,kubelet.conf,controller-manager.conf,2
MCQ,Which Kubernetes concept groups ReplicaSets for easier management?,Job,DaemonSet,Deployment,StatefulSet,3
MCQ,Which command upgrades kubeadm on existing control-plane nodes?,kubeadm upgrade apply,kubeadm upgrade plan,kubeadm upgrade node,kubeadm upgrade join,1
MCQ,Which Helm feature allows using subcharts within charts?,dependencies,includes,subcharts,requirements,1
MCQ,Which field in values.yaml overrides settings for a subchart?,subcharts,global,dependencies,subValues,2
MCQ,Which Kubernetes metric API aggregates resource metrics from nodes?,metrics-server,custom.metrics.k8s.io,metrics.k8s.io,v1beta1.metrics.k8s.io,3
MCQ,Which command installs the Metrics Server in a cluster?,helm install metrics-server,kubectl create -f metrics-server.yaml,kustomize build metrics-server | kubectl apply -f -,kubectl apply -f https://github.com/kubernetes-sigs/metrics-server/...,4
MCQ,Which PersistentVolume access mode supports ReadWriteMany?,awsEBS,hostPath,azureDisk,NFS,4
MCQ,Which CSI driver interface implements volume snapshot feature?,Snapshotter,VolumeSnapshotData,CSI-Snapshot,VolumeSnapshot,4
MCQ,Which RBAC object grants permissions across all namespaces?,RoleBinding,ClusterRole,ClusterRoleBinding,Role,2
MCQ,Which kubectl command applies a Kustomize overlay?,kubectl kustomize overlay | kubectl apply -f -,kubectl apply -f overlay,kubectl apply overlay,kubectl apply -k,4
MCQ,Which Helm command searches for charts in the stable repository?,helm search stable,helm list stable,helm search repo stable,helm find stable,3
MCQ,Which Helm chart repository URL is used by default?,https://kubernetes-charts.storage.googleapis.com,https://charts.helm.sh/incubator,https://charts.helm.sh/stable,https://helm.repo.url,1
MCQ,Which field in Chart.yaml specifies the chart home page?,sources,home,repository,keywords,2
MCQ,Which Helm command shows the history of a release?,helm status,helm history,helm list,helm log,2
MCQ,Which Kubernetes secret type stores TLS certificates and keys?,kubernetes.io/dockerconfigjson,kubernetes.io/tls,Opaque,kubernetes.io/basic-auth,2
MCQ,Which Kustomize generator creates a ConfigMap from literal values or env file?,resources,vars,secretGenerator,configMapGenerator,4
MCQ,Which Kubernetes API object triggers auto-approval of CSRs?,CSR,CertificateRequest,CertificateSigningRequest,Certificate,3
MCQ,Which command approves a CSR named csr-nginx?,kubectl cert approve csr-nginx,kubectl certify csr-nginx,kubectl approve csr csr-nginx,kubectl certificate approve csr-nginx,4
MCQ,Which Kubernetes feature provides self-signed certificates for Ingress?,kubelet TLS,cert-manager,TLS bootstrapping,Ingress controller,2
MCQ,Which command installs cert-manager via Helm?,helm deploy cert-manager jetstack/cert-manager,helm install cert-manager jetstack/cert-manager --namespace cert-manager --create-namespace,helm install cert-manager cert-manager,helm add repo jetstack,2
MCQ,Which Helm chart dependency file is renamed to Chart.lock after dependency resolution?,requirements.yaml,dependencies.lock,requirements.lock,Chart.lock,3
MCQ,Which Kubernetes Pod field specifies an init container?,initContainers,containers.init,preContainers,init,1
MCQ,Which Kubernetes feature allows debugging by injecting containers into running pods?,initContainers,debugContainers,sidecarDebug,ephemeralContainers,4
MCQ,Which kubectl command fetches logs from all pods matching a label?,kubectl logs --all -l app=myapp,kubectl logs pods -l app=myapp,kubectl logs -l app=myapp,kubectl logs --selector app=myapp,3
MCQ,Which kube-proxy mode uses userspace proxying of packets?,iptables,ipvs,userspace,ebpf,3
MCQ,Which kube-proxy mode provides high-performance packet forwarding?,ipvs,iptables,ebpf,userspace,1
MCQ,Which field in kube-proxy ConfigMap defines the proxy mode?,proxyMode,mode,configMode,proxy_mode,2
MCQ,Which Docker Compose command validates and prints the final configuration?,docker-compose lint,docker-compose check,docker-compose validate,docker-compose config,4
MCQ,Which Helm command creates a new chart skeleton called mychart?,helm init mychart,helm create mychart,helm new chart mychart,helm scaffold mychart,2
MCQ,Which Kubernetes concept ensures pods tolerate node taints?,anti-affinity,tolerations,nodeSelector,affinity,2
MCQ,Which field in Pod spec defines tolerations?,spec.taints,tolerations,affinity.tolerations,taints,2
MCQ,Which kube-scheduler policy file field configures external scheduling extenders?,extenders,plugins,policies,schedulingExtenders,1
MCQ,Which Kubernetes volume type creates a diskless temporary directory?,secret,configMap,hostPath,emptyDir,4
